[11:00:24,264] WARN  {KConfig} missing:system.aggregator.ip
[11:20:02,913] INFO  {NodeComp} <193.10.67.178:20002<2>>  pending:[] ponged:[] missed:[193.10.67.178:20003<3>OP] unfeasible:[]
[11:20:04,196] INFO  {NodeComp} <193.10.67.178:20003<3>>  pending:[] ponged:[193.10.67.178:20001<1>OP] missed:[] unfeasible:[]
[11:20:07,240] INFO  {NodeComp} <193.10.67.178:20001<1>>  pending:[] ponged:[] missed:[193.10.67.178:20002<2>OP] unfeasible:[]
[11:20:07,911] INFO  {NodeComp} <193.10.67.178:20002<2>>  pending:[] ponged:[] missed:[193.10.67.178:20003<3>OP] unfeasible:[]
[11:20:09,192] INFO  {NodeComp} <193.10.67.178:20003<3>>  pending:[] ponged:[193.10.67.178:20001<1>OP] missed:[] unfeasible:[]
[11:20:12,239] INFO  {NodeComp} <193.10.67.178:20001<1>>  pending:[] ponged:[] missed:[193.10.67.178:20002<2>OP] unfeasible:[]
[11:20:12,911] INFO  {NodeComp} <193.10.67.178:20002<2>>  pending:[] ponged:[] missed:[193.10.67.178:20003<3>OP] unfeasible:[]
[11:20:14,192] INFO  {NodeComp} <193.10.67.178:20003<3>>  pending:[] ponged:[193.10.67.178:20001<1>OP] missed:[] unfeasible:[]
[11:20:17,239] INFO  {NodeComp} <193.10.67.178:20001<1>>  pending:[] ponged:[] missed:[193.10.67.178:20002<2>OP] unfeasible:[]
[11:20:17,908] INFO  {NodeComp} <193.10.67.178:20002<2>>  pending:[] ponged:[] missed:[193.10.67.178:20003<3>OP] unfeasible:[]
[11:20:19,196] INFO  {NodeComp} <193.10.67.178:20003<3>>  pending:[] ponged:[193.10.67.178:20001<1>OP] missed:[] unfeasible:[]
[11:20:22,240] INFO  {NodeComp} <193.10.67.178:20001<1>>  pending:[] ponged:[] missed:[193.10.67.178:20002<2>OP] unfeasible:[]
[11:20:22,911] INFO  {NodeComp} <193.10.67.178:20002<2>>  pending:[] ponged:[] missed:[193.10.67.178:20003<3>OP] unfeasible:[]
